server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,port_seq
s137,360_s25,10.6.1.44,data/xy/shengbei_s137_9137,shengbei_lianyun_s137,10.6.8.122,360,3306,23714,42.62.50.223,running,1
s138,1377_s19,10.6.2.213,data/xy/shengbei_s138_9138,shengbei_lianyun_s138,10.6.8.220,1377,3306,23814,42.62.56.133,running,3
s139,renren_s11,10.6.7.108,data/xy/shengbei_s139_9139,shengbei_lianyun_s139,10.6.3.95,renren,3306,23914,42.62.56.206,running,3
s140,8090_s5,10.6.5.25,data/xy/shengbei_s140_9140,shengbei_lianyun_s140,10.6.3.175,8090,3306,24014,42.62.56.193,running,2
s141,4399_s5,10.6.3.31,data/xy/shengbei_s141_9141,shengbei_lianyun_s141,10.6.6.162,4399,3306,24114,42.62.50.144,running,2
s142,37wanwan_s2,10.6.8.234,data/xy/shengbei_s142_9142,shengbei_lianyun_s142,10.6.1.83,37wanwan,3306,24214,42.62.50.149,running,2
s143,360_s26,10.6.1.44,data/xy/shengbei_s143_9143,shengbei_lianyun_s143,10.6.8.122,360,3306,24314,42.62.50.223,running,2
s144,awo_s14,10.6.1.101,data/xy/shengbei_s144_9144,shengbei_lianyun_s144,10.6.3.24,awo,3306,24414,42.62.14.92,running,1
s145,91wan_s4,10.6.5.114,data/xy/shengbei_s145_9145,shengbei_lianyun_s145,10.6.5.191,91wan,3306,24514,42.62.14.88,running,1
s146,8090_s6,10.6.5.25,data/xy/shengbei_s146_9146,shengbei_lianyun_s146,10.6.3.175,8090,3306,24614,42.62.56.193,running,3
s149,360_s27,10.6.1.44,data/xy/shengbei_s149_9149,shengbei_lianyun_s149,10.6.8.122,360,3306,24914,42.62.50.223,running,3
s150,renren_s12,10.6.7.108,data/xy/shengbei_s150_9150,shengbei_lianyun_s150,10.6.3.95,renren,3306,25014,42.62.56.206,running,4
s151,91wan_s5,10.6.5.114,data/xy/shengbei_s151_9151,shengbei_lianyun_s151,10.6.5.191,91wan,3306,25114,42.62.14.88,running,2
s152,360_s28,10.6.1.44,data/xy/shengbei_s152_9152,shengbei_lianyun_s152,10.6.8.122,360,3306,25214,42.62.50.223,running,4
s153,1377_s20,10.6.2.213,data/xy/shengbei_s153_9153,shengbei_lianyun_s153,10.6.8.220,1377,3306,25314,42.62.56.133,running,4
s154,smggame_s4,10.6.4.233,data/xy/shengbei_s154_9154,shengbei_lianyun_s154,10.6.5.160,smggame,3306,25414,42.62.56.33,running,4
s155,360_s29,10.6.1.44,data/xy/shengbei_s155_9155,shengbei_lianyun_s155,10.6.8.122,360,3306,25514,42.62.50.223,running,5
s156,8090_s7,10.6.5.25,data/xy/shengbei_s156_9156,shengbei_lianyun_s156,10.6.3.175,8090,3306,25614,42.62.56.193,running,4
s157,renren_s13,10.6.7.108,data/xy/shengbei_s157_9157,shengbei_lianyun_s157,10.6.3.95,renren,3306,25714,42.62.56.206,running,5
s158,awo_s15,10.6.1.101,data/xy/shengbei_s158_9158,shengbei_lianyun_s158,10.6.3.24,awo,3306,25814,42.62.14.92,running,2
s159,37wanwan_s3,10.6.8.234,data/xy/shengbei_s159_9159,shengbei_lianyun_s159,10.6.1.83,37wanwan,3306,25914,42.62.50.149,running,3
s163,360_s30,10.6.3.232,data/xy/shengbei_s163_9163,shengbei_lianyun_s163,10.6.8.122,360,3306,26314,42.62.62.17,running,4
s164,91wan_s6,10.6.5.114,data/xy/shengbei_s164_9164,shengbei_lianyun_s164,10.6.5.191,91wan,3306,26414,42.62.14.88,running,3
s165,renren_s14,10.6.5.72,data/xy/shengbei_s165_9165,shengbei_lianyun_s165,10.6.3.95,renren,3306,26514,42.62.26.73,running,4
s166,360_s31,10.6.3.232,data/xy/shengbei_s166_9166,shengbei_lianyun_s166,10.6.8.122,360,3306,26614,42.62.62.17,running,5
s167,1377_s21,10.6.2.213,data/xy/shengbei_s167_9167,shengbei_lianyun_s167,10.6.8.220,1377,3306,26714,42.62.56.133,running,5
s168,360_s32,10.6.3.232,data/xy/shengbei_s168_9168,shengbei_lianyun_s168,10.6.8.122,360,3306,26814,42.62.62.17,running,6
s169,37wanwan_s4,10.6.8.234,data/xy/shengbei_s169_9169,shengbei_lianyun_s169,10.6.1.83,37wanwan,3306,26914,42.62.50.149,running,4
s170,zongheng_s1,10.6.7.58,data/xy/shengbei_s170_9170,shengbei_lianyun_s170,10.6.3.39,zongheng,3306,27014,42.62.14.89,running,1
s171,renren_s15,10.6.5.72,data/xy/shengbei_s171_9171,shengbei_lianyun_s171,10.6.3.95,renren,3306,27114,42.62.26.73,running,5
s173,8090_s8,10.6.5.25,data/xy/shengbei_s173_9173,shengbei_lianyun_s173,10.6.3.175,8090,3306,27314,42.62.56.193,running,5
s175,91wan_s7,10.6.5.114,data/xy/shengbei_s175_9175,shengbei_lianyun_s175,10.6.5.191,91wan,3306,27514,42.62.14.88,running,4
s176,360_s33,10.6.3.232,data/xy/shengbei_s176_9176,shengbei_lianyun_s176,10.6.8.122,360,3306,27614,42.62.62.17,running,7
s178,5664wan_s1,10.6.7.234,data/xy/shengbei_s178_9178,shengbei_lianyun_s178,10.6.3.39,5664wan,3306,27814,42.62.56.214,running,4
s179,360_s34,10.6.3.232,data/xy/shengbei_s179_9179,shengbei_lianyun_s179,10.6.8.122,360,3306,27914,42.62.62.17,running,8
s180,1377_s22,10.6.2.213,data/xy/shengbei_s180_9180,shengbei_lianyun_s180,10.6.8.220,1377,3306,28014,42.62.56.133,running,6
s182,renren_s16,10.6.5.72,data/xy/shengbei_s182_9182,shengbei_lianyun_s182,10.6.3.95,renren,3306,28214,42.62.26.73,running,6
s183,360_s35,10.6.3.232,data/xy/shengbei_s183_9183,shengbei_lianyun_s183,10.6.8.122,360,3306,28314,42.62.62.17,running,9
s185,renren_s17,10.6.5.72,data/xy/shengbei_s185_9185,shengbei_lianyun_s185,10.6.3.95,renren,3306,28514,42.62.26.73,running,7
s186,zongheng_s2,10.6.7.58,data/xy/shengbei_s186_9186,shengbei_lianyun_s186,10.6.3.39,zongheng,3306,28614,42.62.14.89,running,2
s187,5664wan_s2,10.6.7.234,data/xy/shengbei_s187_9187,shengbei_lianyun_s187,10.6.3.39,5664wan,3306,28714,42.62.56.214,running,5
s188,360_s36,10.6.7.170,data/xy/shengbei_s188_9188,shengbei_lianyun_s188,10.6.8.122,360,3306,28814,42.62.62.80,running,4
s189,8090_s9,10.6.5.25,data/xy/shengbei_s189_9189,shengbei_lianyun_s189,10.6.3.175,8090,3306,28914,42.62.56.193,running,6
s190,kaixin001_s2,10.6.1.121,data/xy/shengbei_s190_9190,shengbei_lianyun_s190,10.6.3.39,kaixin001,3306,29014,42.62.56.250,running,2
s191,360_s37,10.6.7.170,data/xy/shengbei_s191_9191,shengbei_lianyun_s191,10.6.8.122,360,3306,29114,42.62.62.80,running,5
s192,1377_s23,10.6.7.234,data/xy/shengbei_s192_9192,shengbei_lianyun_s192,10.6.8.220,1377,3306,29214,42.62.56.214,running,6
s193,91wan_s8,10.6.5.114,data/xy/shengbei_s193_9193,shengbei_lianyun_s193,10.6.5.191,91wan,3306,29314,42.62.14.88,running,5
s194,8090_s10,10.6.8.243,data/xy/shengbei_s194_9194,shengbei_lianyun_s194,10.6.3.175,8090,3306,29414,42.62.62.89,running,4
