server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,
s111,awo_s12,10.6.8.98,data/xy/shengbei_s111_9111,shengbei_lianyun_s111,10.6.3.24,awo,3306,21114,42.62.50.194,running,
s112,4399_s4,10.6.3.31,data/xy/shengbei_s112_9112,shengbei_lianyun_s112,10.6.6.162,4399,3306,21214,42.62.50.144,running,
s113,pps_s3,10.6.3.172,data/xy/shengbei_s113_9113,shengbei_lianyun_s113,10.6.7.140,pps,3306,21314,42.62.56.251,running,
s114,360_s19,10.6.4.221,data/xy/shengbei_s114_9114,shengbei_lianyun_s114,10.6.6.246,360,3306,21414,42.62.26.173,running,
s115,1377_s17,10.6.2.213,data/xy/shengbei_s115_9115,shengbei_lianyun_s115,10.6.8.220,1377,3306,21514,42.62.56.133,running,
s116,smggame_s3,10.6.4.233,data/xy/shengbei_s116_9116,shengbei_lianyun_s116,10.6.5.160,smggame,3306,21614,42.62.56.33,running,
s117,360_s20,10.6.4.221,data/xy/shengbei_s117_9117,shengbei_lianyun_s117,10.6.6.246,360,3306,21714,42.62.26.173,running,
s118,37wanwan_s1,10.6.8.234,data/xy/shengbei_s118_9118,shengbei_lianyun_s118,10.6.1.83,37wanwan,3306,21814,42.62.50.149,running,
s121,pptv_s5,10.6.8.97,data/xy/shengbei_s121_9121,shengbei_lianyun_s121,10.6.1.238,pptv,3306,22114,42.62.56.145,running,
s122,8090_s2,10.6.6.218,data/xy/shengbei_s122_9122,shengbei_lianyun_s122,10.6.3.175,8090,3306,22214,42.62.50.108,running,
s123,360_s21,10.6.4.221,data/xy/shengbei_s123_9123,shengbei_lianyun_s123,10.6.6.246,360,3306,22314,42.62.26.173,running,
s125,awo_s13,10.6.8.98,data/xy/shengbei_s125_9125,shengbei_lianyun_s125,10.6.3.24,awo,3306,22514,42.62.50.194,running,
s126,360_s22,10.6.2.123,data/xy/shengbei_s126_9126,shengbei_lianyun_s126,10.6.6.246,360,3306,22614,42.62.56.162,running,
s127,1377_s18,10.6.2.213,data/xy/shengbei_s127_9127,shengbei_lianyun_s127,10.6.8.220,1377,3306,22714,42.62.56.133,running,
s129,8090_s3,10.6.6.218,data/xy/shengbei_s129_9129,shengbei_lianyun_s129,10.6.3.175,8090,3306,22914,42.62.50.108,running,
s130,360_s23,10.6.2.123,data/xy/shengbei_s130_9130,shengbei_lianyun_s130,10.6.8.122,360,3306,23014,42.62.56.162,running,
s132,91wan_s3,10.6.5.169,data/xy/shengbei_s132_9132,shengbei_lianyun_s132,10.6.5.191,91wan,3306,23214,42.62.3.179,running,
s133,renren_s10,10.6.7.108,data/xy/shengbei_s133_9133,shengbei_lianyun_s133,10.6.3.95,renren,3306,23314,42.62.56.206,running,
s134,8090_s4,10.6.5.25,data/xy/shengbei_s134_9134,shengbei_lianyun_s134,10.6.3.175,8090,3306,23414,42.62.56.193,running,
s135,360_s24,10.6.2.123,data/xy/shengbei_s135_9135,shengbei_lianyun_s135,10.6.8.122,360,3306,23514,42.62.56.162,running,
s137,360_s25,10.6.1.44,data/xy/shengbei_s137_9137,shengbei_lianyun_s137,10.6.8.122,360,3306,23714,42.62.50.223,running,
s138,1377_s19,10.6.2.213,data/xy/shengbei_s138_9138,shengbei_lianyun_s138,10.6.8.220,1377,3306,23814,42.62.56.133,running,
s139,renren_s11,10.6.7.108,data/xy/shengbei_s139_9139,shengbei_lianyun_s139,10.6.3.95,renren,3306,23914,42.62.56.206,running,
s140,8090_s5,10.6.5.25,data/xy/shengbei_s140_9140,shengbei_lianyun_s140,10.6.3.175,8090,3306,24014,42.62.56.193,running,
s141,4399_s5,10.6.3.31,data/xy/shengbei_s141_9141,shengbei_lianyun_s141,10.6.6.162,4399,3306,24114,42.62.50.144,running,
s142,37wanwan_s2,10.6.8.234,data/xy/shengbei_s142_9142,shengbei_lianyun_s142,10.6.1.83,37wanwan,3306,24214,42.62.50.149,running,
s143,360_s26,10.6.1.44,data/xy/shengbei_s143_9143,shengbei_lianyun_s143,10.6.8.122,360,3306,24314,42.62.50.223,running,
s144,awo_s14,10.6.1.101,data/xy/shengbei_s144_9144,shengbei_lianyun_s144,10.6.3.24,awo,3306,24414,42.62.14.92,running,
s145,91wan_s4,10.6.5.114,data/xy/shengbei_s145_9145,shengbei_lianyun_s145,10.6.5.191,91wan,3306,24514,42.62.14.88,running,
s146,8090_s6,10.6.5.25,data/xy/shengbei_s146_9146,shengbei_lianyun_s146,10.6.3.175,8090,3306,24614,42.62.56.193,running,
s149,360_s27,10.6.1.44,data/xy/shengbei_s149_9149,shengbei_lianyun_s149,10.6.8.122,360,3306,24914,42.62.50.223,running,
s150,renren_s12,10.6.7.108,data/xy/shengbei_s150_9150,shengbei_lianyun_s150,10.6.3.95,renren,3306,25014,42.62.56.206,running,
s151,91wan_s5,10.6.5.114,data/xy/shengbei_s151_9151,shengbei_lianyun_s151,10.6.5.191,91wan,3306,25114,42.62.14.88,running,
s152,360_s28,10.6.1.44,data/xy/shengbei_s152_9152,shengbei_lianyun_s152,10.6.8.122,360,3306,25214,42.62.50.223,running,
s153,1377_s20,10.6.2.213,data/xy/shengbei_s153_9153,shengbei_lianyun_s153,10.6.8.220,1377,3306,25314,42.62.56.133,running,
s154,smggame_s4,10.6.4.233,data/xy/shengbei_s154_9154,shengbei_lianyun_s154,10.6.5.160,smggame,3306,25414,42.62.56.33,running,
s155,360_s29,10.6.1.44,data/xy/shengbei_s155_9155,shengbei_lianyun_s155,10.6.8.122,360,3306,25514,42.62.50.223,running,
s156,8090_s7,10.6.5.25,data/xy/shengbei_s156_9156,shengbei_lianyun_s156,10.6.3.175,8090,3306,25614,42.62.56.193,running,
s157,renren_s13,10.6.7.108,data/xy/shengbei_s157_9157,shengbei_lianyun_s157,10.6.3.95,renren,3306,25714,42.62.56.206,running,
s158,awo_s15,10.6.1.101,data/xy/shengbei_s158_9158,shengbei_lianyun_s158,10.6.3.24,awo,3306,25814,42.62.14.92,running,
s159,37wanwan_s3,10.6.8.234,data/xy/shengbei_s159_9159,shengbei_lianyun_s159,10.6.1.83,37wanwan,3306,25914,42.62.50.149,running,
s163,360_s30,10.6.3.232,data/xy/shengbei_s163_9163,shengbei_lianyun_s163,10.6.8.122,360,3306,26314,42.62.62.17,running,
s164,91wan_s6,10.6.5.114,data/xy/shengbei_s164_9164,shengbei_lianyun_s164,10.6.5.191,91wan,3306,26414,42.62.14.88,running,
s165,renren_s14,10.6.5.72,data/xy/shengbei_s165_9165,shengbei_lianyun_s165,10.6.3.95,renren,3306,26514,42.62.26.73,running,
s166,360_s31,10.6.3.232,data/xy/shengbei_s166_9166,shengbei_lianyun_s166,10.6.8.122,360,3306,26614,42.62.62.17,running,
s167,1377_s21,10.6.2.213,data/xy/shengbei_s167_9167,shengbei_lianyun_s167,10.6.8.220,1377,3306,26714,42.62.56.133,running,
s168,360_s32,10.6.3.232,data/xy/shengbei_s168_9168,shengbei_lianyun_s168,10.6.8.122,360,3306,26814,42.62.62.17,running,
