server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,1
s282,5664wan_s25,10.6.5.214,data/xy/shengbei_s282_9282,shengbei_lianyun_s282,10.6.3.39,5664wan,3306,32814,42.62.62.15,running,9
s283,8090_s13,10.6.8.87,data/xy/shengbei_s283_9283,shengbei_lianyun_s283,10.6.3.39,8090,3306,30614,42.62.56.247,running,8
s284,5664wan_s26,10.6.7.234,data/xy/shengbei_s284_9284,shengbei_lianyun_s284,10.6.3.39,5664wan,3306,32814,42.62.56.214,running,1
s285,5664wan_s27,10.6.7.234,data/xy/shengbei_s285_9285,shengbei_lianyun_s285,10.6.3.39,5664wan,3306,32814,42.62.56.214,running,2
s286,5664wan_s28,10.6.7.234,data/xy/shengbei_s286_9286,shengbei_lianyun_s286,10.6.3.39,5664wan,3306,32814,42.62.56.214,running,4
s287,0356wan_s5,10.6.7.170,data/xy/shengbei_s287_9287,shengbei_lianyun_s287,10.6.3.39,0356wan,3306,33414,42.62.62.80,running,4
s288,1717in_s4,10.6.7.234,data/xy/shengbei_s288_9288,shengbei_lianyun_s288,10.6.3.39,1717in,3306,36214,42.62.56.214,running,5
s289,1717in_s5,10.6.7.234,data/xy/shengbei_s289_9289,shengbei_lianyun_s289,10.6.3.39,1717in,3306,36214,42.62.56.214,running,10
s290,1717in_s6,10.6.7.234,data/xy/shengbei_s290_9290,shengbei_lianyun_s290,10.6.3.39,1717in,3306,36214,42.62.56.214,running,11
s291,1717in_s7,10.6.7.234,data/xy/shengbei_s291_9291,shengbei_lianyun_s291,10.6.3.39,1717in,3306,36214,42.62.56.214,running,12
s292,9166wan_s4,10.6.7.234,data/xy/shengbei_s292_9292,shengbei_lianyun_s292,10.6.4.220,9166wan,3306,33514,42.62.56.214,running,13
s293,9166wan_s5,10.6.7.234,data/xy/shengbei_s293_9293,shengbei_lianyun_s293,10.6.4.220,9166wan,3306,33514,42.62.56.214,running,14
s294,0356wan_s6,10.6.7.170,data/xy/shengbei_s294_9294,shengbei_lianyun_s294,10.6.3.39,0356wan,3306,33414,42.62.62.80,running,10
